Rank,country,QualityofLifeIndex,PollutionIndex,SafetyIndex,total,,PollIndex,PurchasingPowerIndex,HealthCareIndex,CostofLivingIndex,PropertyPricetoIncomeRatio,TrafficCommuteTimeIndex,ClimateIndex,colour,continent,region
1,Switzerland,195.27,19.59,78.32,293.18,,51.05,118.44,74.85,123.35,8.29,28.5,80.21,#7172ad,europe,europe
2,Denmark,192.36,20.97,73.44,286.77,,47.69,99.45,80.07,84.12,6.78,28.52,81.8,#7172ad,europe,america
3,Netherlands,185.38,25.07,72.12,282.57,,39.89,87.99,75.56,75.66,7.15,27.4,87.11,#7172ad,europe,asia
4,Finland,184.96,12.09,72.75,269.8,,82.71,91.02,76.31,73.2,7.95,27.8,56.64,#7172ad,europe,africa
5,Australia,183.81,23.85,56.15,263.81,,41.93,104.63,78.14,77.75,7.2,34.78,92.7,#7172ad,europe,australia
6,Iceland,182.26,15.83,76.47,274.56,,63.17,77.06,66.36,94.86,6.36,19.77,68.81,#7172ad,europe,middleEast
7,Germany,180.27,27.75,63.63,271.65,,36.04,103.08,73.25,65.58,8.93,31.14,82.44,#7172ad,europe,
8,Austria,179.16,21.73,73.92,274.81,,46.02,77.25,76.75,71.04,10.75,25.55,77.15,#7172ad,europe,
9,New Zealand,176.81,23.62,56.7,257.13,,42.34,83.63,73.32,74.52,7.96,30.78,96.69,#00FF00,australia,
10,Norway,176.39,17.95,66.15,260.49,,55.71,83.11,76.83,100.9,8.04,26.91,68.68,#7172ad,europe,
11,Sweden,175.3,18.32,51,244.62,,54.59,98.14,68.71,71.74,7.81,29.43,74.92,#7172ad,europe,
12,Estonia,174.19,19.75,76.18,270.12,,50.63,63.46,73.33,53.68,9.25,24.51,64.28,#7172ad,europe,
13,Oman,173.68,37.21,80.01,290.9,,26.87,84.24,58.23,49.42,4.59,22.76,67.22,#FF0000,middleEast,
14,Luxembourg,173.63,23.92,64.29,261.84,,41.81,98.84,70.79,80.5,13.55,32.71,82.62,#7172ad,europe,
15,United States,170.72,35.33,51.84,257.89,,28.3,106.34,69.06,70.13,3.96,32.85,76.78,#509ee3,america,
16,Japan,169.48,38.82,77.88,286.18,,25.76,87.11,80.49,77.03,11.02,40.65,85.27,#ef8c8c,asia,
17,Slovenia,169.04,22.88,77.35,269.27,,43.71,59.48,65.25,53.88,11.5,26.48,77.56,#7172ad,europe,
18,Spain,168.48,39.66,66.13,274.27,,25.21,70.04,78.37,53.88,8.78,29.24,93.83,#7172ad,europe,
19,Czech Republic,162.64,35.86,74.46,272.96,,27.89,66.47,75.34,48.24,13.56,29.45,77.13,#7172ad,europe,
